Fecha,R0,Alpha,Beta,Gamma,Importados,S,E,I,R,Ia,Confirmados
2020-03-03,2,0.333333333,0.1428,0.0714,1,44000000,0,0,0,0,1
2020-03-04,2,0.333333333,0.1428,0.0714,0,,,,,,1
2020-03-05,2,0.333333333,0.1428,0.0714,0,,,,,,1
2020-03-06,2,0.333333333,0.1428,0.0714,2,,,,,,3
2020-03-07,2,0.333333333,0.1428,0.0714,6,,,,,,9
2020-03-08,2,0.333333333,0.1428,0.0714,3,,,,,,12
2020-03-09,2,0.333333333,0.1428,0.0714,5,,,,,,17
2020-03-10,2,0.333333333,0.1428,0.0714,2,,,,,,19
2020-03-11,2,0.333333333,0.1428,0.0714,2,,,,,,21
2020-03-12,2,0.333333333,0.1428,0.0714,7,,,,,,31
2020-03-13,2,0.333333333,0.1428,0.0714,2,,,,,,34
2020-03-14,2,0.333333333,0.1428,0.0714,10,,,,,,45
2020-03-15,2,0.333333333,0.1428,0.0714,8,,,,,,56
2020-03-16,2,0.333333333,0.1428,0.0714,8,,,,,,65
2020-03-17,2,0.333333333,0.1428,0.0714,11,,,,,,78
2020-03-18,2,0.333333333,0.1428,0.0714,14,,,,,,97
2020-03-19,2,0.333333333,0.1428,0.0714,25,,,,,,128
2020-03-20,2,0.333333333,0.1428,0.0714,26,,,,,,158
2020-03-21,2,0.333333333,0.1428,0.0714,55,,,,,,225
2020-03-22,2,0.333333333,0.1428,0.0714,19,,,,,,265
2020-03-23,2,0.333333333,0.1428,0.0714,31,,,,,,301
2020-03-24,2,0.333333333,0.1428,0.0714,64,,,,,,385
2020-03-25,2,0.333333333,0.1428,0.0714,99,,,,,,502
2020-03-26,2,0.333333333,0.1428,0.0714,63,,,,,,589
2020-03-27,2,0.333333333,0.1428,0.0714,60,,,,,,690
2020-03-28,2,0.333333333,0.1428,0.0714,37,,,,,,745
2020-03-29,2,0.333333333,0.1428,0.0714,53,,,,,,820
2020-03-30,2,0.333333333,0.1428,0.0714,146,,,,,,966
2020-03-31,2,0.333333333,0.1428,0.0714,0,,,,,,1054
2020-04-01,2,0.333333333,0.1428,0.0714,25,,,,,,1133
2020-04-02,2,0.333333333,0.1428,0.0714,83,,,,,,1265
2020-04-03,2,0.333333333,0.1428,0.0714,42,,,,,,1353
2020-04-04,2,0.333333333,0.1428,0.0714,52,,,,,,1451
2020-04-05,2,0.333333333,0.1428,0.0714,57,,,,,,1554
2020-04-06,2,0.333333333,0.1428,0.0714,47,,,,,,1628
2020-04-07,2,0.333333333,0.1428,0.0714,62,,,,,,1715
2020-04-08,2,0.333333333,0.1428,0.0714,50,,,,,,1795
2020-04-09,2,0.333333333,0.1428,0.0714,76,,,,,,1894
2020-04-10,2,0.333333333,0.1428,0.0714,50,,,,,,1975
2020-04-11,2,0.333333333,0.1428,0.0714,127,,,,,,2142
2020-04-12,2,0.333333333,0.1428,0.0714,12,,,,,,2208
2020-04-13,2,0.333333333,0.1428,0.0714,45,,,,,,2277
2020-04-14,2,0.333333333,0.1428,0.0714,99,,,,,,2443
2020-04-15,2,0.333333333,0.1428,0.0714,82,,,,,,2571
2020-04-16,2,0.333333333,0.1428,0.0714,50,,,,,,2669
2020-04-17,2,0.333333333,0.1428,0.0714,43,,,,,,2758
2020-04-18,2,0.333333333,0.1428,0.0714,-106,,,,,,2839
2020-04-19,2,0.333333333,0.1428,0.0714,51,,,,,,2941
2020-04-20,2,0.333333333,0.1428,0.0714,32,,,,,,3031
2020-04-21,2,0.333333333,0.1428,0.0714,60,,,,,,3144
2020-04-22,2,0.333333333,0.1428,0.0714,82,,,,,,3288
2020-04-23,2,0.333333333,0.1428,0.0714,65,,,,,,3435
2020-04-24,2,0.333333333,0.1428,0.0714,100,,,,,,3607
2020-04-25,2,0.333333333,0.1428,0.0714,94,,,,,,3780
2020-04-26,2,0.333333333,0.1428,0.0714,69,,,,,,3892
2020-04-27,2,0.333333333,0.1428,0.0714,70,,,,,,4003
2020-04-28,2,0.333333333,0.1428,0.0714,83,,,,,,4127
2020-04-29,2,0.333333333,0.1428,0.0714,89,,,,,,4285
2020-04-30,2,0.333333333,0.1428,0.0714,73,,,,,,4427
2020-05-01,2,0.333333333,0.1428,0.0714,59,,,,,,4531
2020-05-02,2,0.333333333,0.1428,0.0714,85,,,,,,4679
2020-05-03,2,0.333333333,0.1428,0.0714,39,,,,,,4782
2020-05-04,2,0.333333333,0.1428,0.0714,43,,,,,,4886
2020-05-05,2,0.333333333,0.1428,0.0714,64,,,,,,5020
