Municipio,Latitud,Longitud,Activo,Fallecido,Recuperado,ultima_actualizacion
25 de Mayo,-35.5496130389241,-60.27729301376021,1.0,0.0,0.0,26/06/2020
9 de Julio,-35.516445385507105,-60.9274197423474,0.0,0.0,4.0,26/06/2020
Adolfo Alsina,-37.1728770179204,-62.956430172130005,0.0,0.0,0.0,26/06/2020
Adolfo Gonzales Chaves,-37.9376840849475,-60.292282372512204,0.0,0.0,0.0,26/06/2020
Alberti,-35.0267347379974,-60.2845190578018,3.0,0.0,1.0,26/06/2020
Almirante Brown,-34.8296798559318,-58.378292582910795,628.0,17.0,252.0,26/06/2020
Arrecifes,-34.004390597379604,-60.015538687169105,0.0,0.0,2.0,26/06/2020
Avellaneda,-34.679449896337196,-58.336099583595896,839.0,15.0,357.0,26/06/2020
Ayacucho,-36.9797242127273,-58.5903091184093,0.0,0.0,0.0,26/06/2020
Azul,-36.8392494453142,-59.681346472969,6.0,0.0,8.0,26/06/2020
Bahía Blanca,-38.5893309226696,-62.1898079570965,65.0,3.0,17.0,26/06/2020
Balcarce,-37.7464823181907,-58.1903142843579,0.0,0.0,1.0,26/06/2020
Baradero,-33.900985560256,-59.441792761905205,17.0,1.0,16.0,26/06/2020
Benito Juárez,-37.5416232823799,-59.8905444377437,0.0,0.0,0.0,26/06/2020
Berazategui,-34.851141278731,-58.143372215229796,280.0,12.0,151.0,26/06/2020
Berisso,-34.8940641243294,-57.85304889050429,92.0,2.0,54.0,26/06/2020
Bolívar,-36.291007644715705,-61.152110710411904,0.0,0.0,0.0,26/06/2020
Bragado,-35.0325878533063,-60.6020608103564,4.0,0.0,1.0,26/06/2020
Brandsen,-35.196475081955,-58.241658244007795,15.0,1.0,5.0,26/06/2020
Campana,-34.160473672283004,-58.888527200210596,53.0,6.0,59.0,26/06/2020
Cañuelas,-35.1613563901017,-58.719385521298,29.0,3.0,10.0,26/06/2020
Capitán Sarmiento,-34.1370612110475,-59.847555344102105,10.0,0.0,18.0,26/06/2020
Carlos Casares,-35.723255459754206,-61.307702190652996,0.0,0.0,2.0,26/06/2020
Carlos Tejedor,-35.3954810024569,-62.430003498434296,1.0,0.0,0.0,26/06/2020
Carmen de Areco,-34.4121576305649,-59.9120369242198,3.0,0.0,1.0,26/06/2020
Castelli,-36.021764340507204,-57.6507590900504,0.0,0.0,0.0,26/06/2020
Chacabuco,-34.6345760123024,-60.3306060371937,0.0,0.0,7.0,26/06/2020
Chascomús,-35.5925358845226,-57.874342553709994,4.0,0.0,8.0,26/06/2020
Chivilcoy,-34.9057703549472,-59.9824152110713,6.0,0.0,3.0,26/06/2020
Colón,-33.8463564840398,-61.0343052736988,1.0,0.0,3.0,26/06/2020
Coronel de Marina Leonardo Rosales,-38.8156513812797,-61.9307853943902,0.0,0.0,0.0,26/06/2020
Coronel Dorrego,-38.6361558451406,-61.152383706094,1.0,0.0,0.0,26/06/2020
Coronel Pringles,-38.1679066204302,-61.2409383054573,0.0,0.0,0.0,26/06/2020
Coronel Suárez,-37.5747909357969,-61.8774033637149,0.0,0.0,0.0,26/06/2020
Daireaux,-36.6148800251404,-61.944812172533595,0.0,0.0,1.0,26/06/2020
