Municipio,Poblacion,Latitud,Longitud
Ayacucho,21291,-36.9797242127273,-58.5903091184093
Balcarce,45691,-37.7464823181907,-58.1903142843579
General Alvarado,44149,-38.1991232354109,-58.060070616115
General Guido,2892,-36.6656070244841,-57.9601544781869
General Juan Madariaga,21596,-37.1533666335575,-57.2742161456968
General Lavalle,4459,-36.6831663704107,-57.0074538649813
General Pueyrredón,656456,-37.9669496614919,-57.7852014342117
La Costa,78554,-36.6578028707389,-56.6925442457952
Lobería,18281,-38.0684036601792,-58.6897124072938
Maipú,10388,-36.8880254062215,-57.5903284625269
Mar Chiquita,25344,-37.5006514752177,-57.6326543329287
Necochea,95995,-38.173759735739,-59.1108537462504
Pinamar,31584,-37.1084927495227,-56.8688084578866
San Cayetano,8797,-38.4020312327854,-59.6297996198462
Tandil,139300,-37.2918903625343,-59.2381836227991
Villa Gesell,38034,-37.3621277462409,-57.0604817595912
