Fecha,R0,Alpha,Beta,Gamma,Importados,S,E,I,R,Ia,Confirmados
2020-03-03,2,0.333333333,0.1428,0.0714,1,44000000,0,1,0,1,1
2020-03-04,2,0.333333333,0.1428,0.0714,0,,,,,,1
2020-03-05,2,0.333333333,0.1428,0.0714,0,,,,,,1
2020-03-06,2,0.333333333,0.1428,0.0714,2,,,,,,3
2020-03-07,2,0.333333333,0.1428,0.0714,6,,,,,,9
2020-03-08,2,0.333333333,0.1428,0.0714,3,,,,,,12
2020-03-09,2,0.333333333,0.1428,0.0714,5,,,,,,17
2020-03-10,2,0.333333333,0.1428,0.0714,2,,,,,,19
2020-03-11,2,0.333333333,0.1428,0.0714,2,,,,,,21
2020-03-12,2,0.333333333,0.1428,0.0714,7,,,,,,31
2020-03-13,2,0.333333333,0.1428,0.0714,2,,,,,,34
2020-03-14,2,0.333333333,0.1428,0.0714,10,,,,,,45
2020-03-15,2,0.333333333,0.1428,0.0714,8,,,,,,56
2020-03-16,2,0.333333333,0.1428,0.0714,8,,,,,,65
2020-03-17,2,0.333333333,0.1428,0.0714,11,,,,,,78
2020-03-18,2,0.333333333,0.1428,0.0714,13,,,,,,97
2020-03-19,2,0.333333333,0.1428,0.0714,20,,,,,,128
2020-03-20,2,0.333333333,0.1428,0.0714,22,,,,,,158
2020-03-21,2,0.333333333,0.1428,0.0714,45,,,,,,225
2020-03-22,2,0.333333333,0.1428,0.0714,22,,,,,,265
2020-03-23,2,0.333333333,0.1428,0.0714,17,,,,,,301
2020-03-24,2,0.333333333,0.1428,0.0714,41,,,,,,385
2020-03-25,2,0.333333333,0.1428,0.0714,3,,,,,,502
2020-03-26,2,0.333333333,0.1428,0.0714,37,,,,,,589
2020-03-27,2,0.333333333,0.1428,0.0714,100,,,,,,690
2020-03-28,2,0.333333333,0.1428,0.0714,21,,,,,,745
2020-03-29,2,0.333333333,0.1428,0.0714,34,,,,,,820
2020-03-30,2,0.333333333,0.1428,0.0714,47,,,,,,966
2020-03-31,2,0.333333333,0.1428,0.0714,40,,,,,,1054
2020-04-01,2,0.333333333,0.1428,0.0714,51,,,,,,1133
2020-04-02,2,0.333333333,0.1428,0.0714,42,,,,,,1265
2020-04-03,2,0.333333333,0.1428,0.0714,34,,,,,,1353
2020-04-04,2,0.333333333,0.1428,0.0714,18,,,,,,1451
2020-04-05,2,0.333333333,0.1428,0.0714,21,,,,,,1554
2020-04-06,2,0.333333333,0.1428,0.0714,23,,,,,,1628
2020-04-07,2,0.333333333,0.1428,0.0714,20,,,,,,1715
2020-04-08,2,0.333333333,0.1428,0.0714,29,,,,,,1795
2020-04-09,2,0.333333333,0.1428,0.0714,18,,,,,,1894
2020-04-10,2,0.333333333,0.1428,0.0714,4,,,,,,1975
2020-04-11,2,0.333333333,0.1428,0.0714,27,,,,,,2142
2020-04-12,2,0.333333333,0.1428,0.0714,5,,,,,,2208
2020-04-13,2,0.333333333,0.1428,0.0714,9,,,,,,2277
2020-04-14,2,0.333333333,0.1428,0.0714,3,,,,,,2443
2020-04-15,2,0.333333333,0.1428,0.0714,7,,,,,,2571
2020-04-16,2,0.333333333,0.1428,0.0714,5,,,,,,2669
2020-04-17,2,0.333333333,0.1428,0.0714,6,,,,,,2758
2020-04-18,2,0.333333333,0.1428,0.0714,5,,,,,,2839
2020-04-19,2,0.333333333,0.1428,0.0714,2,,,,,,2941
2020-04-20,2,0.333333333,0.1428,0.0714,5,,,,,,3031
2020-04-21,2,0.333333333,0.1428,0.0714,3,,,,,,3144
2020-04-22,2,0.333333333,0.1428,0.0714,4,,,,,,3288
2020-04-23,2,0.333333333,0.1428,0.0714,5,,,,,,3435
2020-04-24,2,0.333333333,0.1428,0.0714,12,,,,,,3607
2020-04-25,2,0.333333333,0.1428,0.0714,1,,,,,,3780
2020-04-26,2,0.333333333,0.1428,0.0714,12,,,,,,3892
2020-04-27,2,0.333333333,0.1428,0.0714,5,,,,,,4003
2020-04-28,2,0.333333333,0.1428,0.0714,4,,,,,,4127
2020-04-29,2,0.333333333,0.1428,0.0714,3,,,,,,4285
2020-04-30,2,0.333333333,0.1428,0.0714,3,,,,,,4427
2020-05-01,2,0.333333333,0.1428,0.0714,1,,,,,,4531
2020-05-02,2,0.333333333,0.1428,0.0714,1,,,,,,4679
2020-05-03,2,0.333333333,0.1428,0.0714,3,,,,,,4782
2020-05-04,2,0.333333333,0.1428,0.0714,5,,,,,,4886
2020-05-05,2,0.333333333,0.1428,0.0714,2,,,,,,5020
2020-05-06,2,0.333333333,0.1428,0.0714,1,,,,,,5208
2020-05-07,2,0.333333333,0.1428,0.0714,1,,,,,,5371
2020-05-08,2,0.333333333,0.1428,0.0714,1,,,,,,5611
2020-05-09,2,0.333333333,0.1428,0.0714,0,,,,,,5776
2020-05-10,2,0.333333333,0.1428,0.0714,0,,,,,,6034
2020-05-11,2,0.333333333,0.1428,0.0714,2,,,,,,6278
2020-05-12,2,0.333333333,0.1428,0.0714,0,,,,,,6563
2020-05-13,2,0.333333333,0.1428,0.0714,2,,,,,,6878
2020-05-14,2,0.333333333,0.1428,0.0714,1,,,,,,7133
2020-05-15,2,0.333333333,0.1428,0.0714,2,,,,,,7478
2020-05-16,2,0.333333333,0.1428,0.0714,0,,,,,,7805
2020-05-17,2,0.333333333,0.1428,0.0714,2,,,,,,8068
2020-05-18,2,0.333333333,0.1428,0.0714,0,,,,,,8371
2020-05-19,2,0.333333333,0.1428,0.0714,1,,,,,,8809
2020-05-20,2,0.333333333,0.1428,0.0714,5,,,,,,9283
2020-05-21,2,0.333333333,0.1428,0.0714,2,,,,,,9930
2020-05-22,2,0.333333333,0.1428,0.0714,1,,,,,,10648
2020-05-23,2,0.333333333,0.1428,0.0714,3,,,,,,11352
2020-05-24,2,0.333333333,0.1428,0.0714,4,,,,,,12075
2020-05-25,2,0.333333333,0.1428,0.0714,1,,,,,,12627
2020-05-26,2,0.333333333,0.1428,0.0714,3,,,,,,13227
2020-05-27,2,0.333333333,0.1428,0.0714,2,,,,,,13933
2020-05-28,2,0.333333333,0.1428,0.0714,6,,,,,,14702
2020-05-29,2,0.333333333,0.1428,0.0714,1,,,,,,15419
2020-05-30,2,0.333333333,0.1428,0.0714,1,,,,,,16214
2020-05-31,2,0.333333333,0.1428,0.0714,1,,,,,,16851
2020-06-01,2,0.333333333,0.1428,0.0714,4,,,,,,17415
2020-06-02,2,0.333333333,0.1428,0.0714,0,,,,,,18319
2020-06-03,2,0.333333333,0.1428,0.0714,3,,,,,,19268
2020-06-04,2,0.333333333,0.1428,0.0714,1,,,,,,20197
2020-06-05,2,0.333333333,0.1428,0.0714,2,,,,,,21037
2020-06-06,2,0.333333333,0.1428,0.0714,3,,,,,,22020
2020-06-07,2,0.333333333,0.1428,0.0714,2,,,,,,22794
2020-06-08,2,0.333333333,0.1428,0.0714,1,,,,,,23620
2020-06-09,2,0.333333333,0.1428,0.0714,6,,,,,,24761
2020-06-10,2,0.333333333,0.1428,0.0714,4,,,,,,25987
2020-06-11,2,0.333333333,0.1428,0.0714,3,,,,,,27373
2020-06-12,2,0.333333333,0.1428,0.0714,6,,,,,,28764
2020-06-13,2,0.333333333,0.1428,0.0714,6,,,,,,30295
2020-06-14,2,0.333333333,0.1428,0.0714,11,,,,,,31577
2020-06-15,2,0.333333333,0.1428,0.0714,6,,,,,,32785
2020-06-16,2,0.333333333,0.1428,0.0714,2,,,,,,34159
2020-06-17,2,0.333333333,0.1428,0.0714,6,,,,,,35552
2020-06-18,2,0.333333333,0.1428,0.0714,8,,,,,,37510
2020-06-19,2,0.333333333,0.1428,0.0714,0,,,,,,39570
2020-06-20,2,0.333333333,0.1428,0.0714,2,,,,,,41204
2020-06-21,2,0.333333333,0.1428,0.0714,1,,,,,,42785
2020-06-22,2,0.333333333,0.1428,0.0714,3,,,,,,44931
2020-06-23,,,,,2,,,,,,47216
