time	susceptible (total) median	susceptible (total) lower bound	susceptible (total) upper bound	severe (total) median	severe (total) lower bound	severe (total) upper bound	ICU (total) median	ICU (total) lower bound	ICU (total) upper bound	exposed (total) median	exposed (total) lower bound	exposed (total) upper bound	infectious (total) median	infectious (total) lower bound	infectious (total) upper bound	overflow (total) median	overflow (total) lower bound	overflow (total) upper bound	cumulative recovered (total) median	cumulative recovered (total) lower bound	cumulative recovered (total) upper bound	cumulative ICU (total) median	cumulative ICU (total) lower bound	cumulative ICU (total) upper bound	cumulative hospitalized (total) median	cumulative hospitalized (total) lower bound	cumulative hospitalized (total) upper bound	cumulative fatality (total) median	cumulative fatality (total) lower bound	cumulative fatality (total) upper bound
2020-06-01	99999	99999	99999	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-06-02	99998	99998	99998	0	0	0	0	0	0	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-06-03	99997	99997	99997	0	0	0	0	0	0	2	2	2	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-06-04	99996	99996	99996	0	0	0	0	0	0	3	3	3	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-06-05	99994	99994	99994	0	0	0	0	0	0	3	3	3	2	2	2	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0
2020-06-06	99993	99993	99993	0	0	0	0	0	0	4	4	4	3	3	3	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0
2020-06-07	99991	99991	99992	0	0	0	0	0	0	4	4	4	3	3	3	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0
2020-06-08	99990	99990	99990	0	0	0	0	0	0	4	4	5	4	4	4	0	0	0	2	2	2	0	0	0	0	0	0	0	0	0
2020-06-09	99988	99988	99988	0	0	0	0	0	0	5	5	5	5	5	5	0	0	0	2	2	2	0	0	0	0	0	0	0	0	0
2020-06-10	99986	99986	99987	0	0	0	0	0	0	5	5	6	6	5	6	0	0	0	3	3	3	0	0	0	0	0	0	0	0	0
2020-06-11	99984	99983	99985	0	0	0	0	0	0	6	5	6	6	6	7	0	0	0	4	4	4	0	0	0	0	0	0	0	0	0
2020-06-12	99982	99981	99983	0	0	0	0	0	0	6	6	6	7	7	8	0	0	0	5	5	5	0	0	0	0	0	0	0	0	0
2020-06-13	99980	99979	99981	0	0	0	0	0	0	6	6	7	8	8	8	0	0	0	6	6	6	0	0	0	0	0	0	0	0	0
2020-06-14	99977	99976	99979	0	0	0	0	0	0	7	6	8	9	8	9	0	0	0	7	7	7	0	0	0	0	0	0	0	0	0
2020-06-15	99974	99973	99976	0	0	0	0	0	0	7	7	8	10	9	10	0	0	0	8	8	9	0	0	0	0	0	0	0	0	0
2020-06-16	99972	99970	99974	0	0	0	0	0	0	8	7	9	11	10	12	0	0	0	10	9	10	0	0	0	0	0	0	0	0	0
2020-06-17	99969	99966	99971	0	0	0	0	0	0	8	7	9	12	11	13	0	0	0	11	11	12	0	0	0	1	1	1	0	0	0
2020-06-18	99966	99963	99969	0	0	0	0	0	0	9	8	10	12	12	14	0	0	0	13	12	14	0	0	0	1	1	1	0	0	0
2020-06-19	99962	99959	99966	0	0	0	0	0	0	9	8	11	13	12	15	0	0	0	15	14	16	0	0	0	1	1	1	0	0	0
2020-06-20	99959	99955	99963	0	0	0	0	0	0	10	8	11	14	13	16	0	0	0	17	16	18	0	0	0	1	1	1	0	0	0
2020-06-21	99955	99951	99960	0	0	0	0	0	0	10	9	12	15	14	17	0	0	0	19	18	20	0	0	0	1	1	1	0	0	0
2020-06-22	99951	99947	99957	0	0	0	0	0	0	11	9	13	16	15	19	0	0	0	21	20	23	0	0	0	1	1	1	0	0	0
