Fecha,Importados,R0,Beta,Alpha,Gamma,S,E,I,R,Ia,Confirmados
2021-01-01,1,3,,0.333333333,0.071428571,50000,0,1,0,1,1
2021-01-02,0,3,,0.333333333,0.071428571,,,,,,
2021-01-03,0,3,,0.333333333,0.071428571,,,,,,
2021-01-04,0,3,,0.333333333,0.071428571,,,,,,
2021-01-05,0,3,,0.333333333,0.071428571,,,,,,
2021-01-06,0,3,,0.333333333,0.071428571,,,,,,2
2021-01-07,0,3,,0.333333333,0.071428571,,,,,,
2021-01-08,0,3,,0.333333333,0.071428571,,,,,,
2021-01-09,1,3,,0.333333333,0.071428571,,,,,,3
2021-01-10,0,3,,0.333333333,0.071428571,,,,,,
2021-01-11,0,3,,0.333333333,0.071428571,,,,,,4
2021-01-12,0,3,,0.333333333,0.071428571,,,,,,
2021-01-13,0,3,,0.333333333,0.071428571,,,,,,
2021-01-14,0,3,,0.333333333,0.071428571,,,,,,
2021-01-15,0,3,,0.333333333,0.071428571,,,,,,6
2021-01-16,0,1.25,,0.333333333,0.071428571,,,,,,7
2021-01-17,0,1.25,,0.333333333,0.071428571,,,,,,
2021-01-18,0,1.25,,0.333333333,0.071428571,,,,,,8
2021-01-19,0,1.25,,0.333333333,0.071428571,,,,,,
2021-01-20,1,1.25,,0.333333333,0.071428571,,,,,,9
2021-01-21,0,1.25,,0.333333333,0.071428571,,,,,,10
2021-01-22,0,1.25,,0.333333333,0.071428571,,,,,,
2021-01-23,0,1.25,,0.333333333,0.071428571,,,,,,11
2021-01-24,0,1.25,,0.333333333,0.071428571,,,,,,12
2021-01-25,2,1.25,,0.333333333,0.071428571,,,,,,15
2021-01-26,0,1.25,,0.333333333,0.071428571,,,,,,
2021-01-27,0,1.25,,0.333333333,0.071428571,,,,,,
2021-01-28,0,1.25,,0.333333333,0.071428571,,,,,,
2021-01-29,0,1.25,,0.333333333,0.071428571,,,,,,
2021-01-30,0,1.25,,0.333333333,0.071428571,,,,,,
2021-01-31,0,1.25,,0.333333333,0.071428571,,,,,,
2021-02-01,0,1.25,,0.333333333,0.071428571,,,,,,
2021-02-02,0,1.25,,0.333333333,0.071428571,,,,,,
2021-02-03,0,1.25,,0.333333333,0.071428571,,,,,,
2021-02-04,0,1.25,,0.333333333,0.071428571,,,,,,
2021-02-05,0,1.25,,0.333333333,0.071428571,,,,,,
2021-02-06,0,1.25,,0.333333333,0.071428571,,,,,,
2021-02-07,0,1.25,,0.333333333,0.071428571,,,,,,
2021-02-08,0,1.25,,0.333333333,0.071428571,,,,,,
2021-02-09,0,1.25,,0.333333333,0.071428571,,,,,,
2021-02-10,0,1.25,,0.333333333,0.071428571,,,,,,
2021-02-11,0,1.25,,0.333333333,0.071428571,,,,,,
2021-02-12,0,1.25,,0.333333333,0.071428571,,,,,,
2021-02-13,0,1.25,,0.333333333,0.071428571,,,,,,
2021-02-14,0,1.25,,0.333333333,0.071428571,,,,,,
2021-02-15,0,1.25,,0.333333333,0.071428571,,,,,,
2021-02-16,0,1.25,,0.333333333,0.071428571,,,,,,
2021-02-17,0,1.25,,0.333333333,0.071428571,,,,,,
2021-02-18,0,1.25,,0.333333333,0.071428571,,,,,,
2021-02-19,0,1.25,,0.333333333,0.071428571,,,,,,
2021-02-20,0,1.25,,0.333333333,0.071428571,,,,,,
2021-02-21,0,1.25,,0.333333333,0.071428571,,,,,,
2021-02-22,0,1.25,,0.333333333,0.071428571,,,,,,
2021-02-23,0,1.25,,0.333333333,0.071428571,,,,,,
2021-02-24,0,1.25,,0.333333333,0.071428571,,,,,,
2021-02-25,0,1.25,,0.333333333,0.071428571,,,,,,
2021-02-26,0,1.25,,0.333333333,0.071428571,,,,,,
2021-02-27,0,1.25,,0.333333333,0.071428571,,,,,,
2021-02-28,0,,,,,,,,,,
