time	susceptible (total) median	susceptible (total) lower bound	susceptible (total) upper bound	severe (total) median	severe (total) lower bound	severe (total) upper bound	ICU (total) median	ICU (total) lower bound	ICU (total) upper bound	exposed (total) median	exposed (total) lower bound	exposed (total) upper bound	infectious (total) median	infectious (total) lower bound	infectious (total) upper bound	overflow (total) median	overflow (total) lower bound	overflow (total) upper bound	cumulative recovered (total) median	cumulative recovered (total) lower bound	cumulative recovered (total) upper bound	cumulative ICU (total) median	cumulative ICU (total) lower bound	cumulative ICU (total) upper bound	cumulative hospitalized (total) median	cumulative hospitalized (total) lower bound	cumulative hospitalized (total) upper bound	cumulative fatality (total) median	cumulative fatality (total) lower bound	cumulative fatality (total) upper bound
2020-05-11	99999	99999	99999	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-05-12	99999	99999	99999	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-05-13	99998	99998	99998	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-05-14	99998	99998	99998	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-05-15	99998	99998	99998	0	0	0	0	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-05-16	99997	99997	99997	0	0	0	0	0	0	2	2	2	1	1	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0
2020-05-17	99997	99997	99997	0	0	0	0	0	0	2	2	2	1	1	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0
2020-05-18	99996	99996	99996	0	0	0	0	0	0	2	2	2	1	1	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0
2020-05-19	99996	99996	99996	0	0	0	0	0	0	2	2	2	1	1	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0
2020-05-20	99995	99995	99996	0	0	0	0	0	0	2	2	3	1	1	1	0	0	0	2	2	2	0	0	0	0	0	0	0	0	0
2020-05-21	99995	99994	99995	0	0	0	0	0	0	2	2	3	1	1	1	0	0	0	2	2	2	0	0	0	0	0	0	0	0	0
2020-05-22	99994	99994	99994	0	0	0	0	0	0	3	2	3	1	1	1	0	0	0	2	2	2	0	0	0	0	0	0	0	0	0
